<People 's Daily, ORGANIZATION, 8>
<FCA, ORGANIZATION, 7>
<Merrill Lynch, ORGANIZATION, 13>
<Chrysler Corp, ORGANIZATION, 9>
<Federal Deposit Insurance Corp, ORGANIZATION, 6>
<Microsoft Corp, ORGANIZATION, 6>
<Standard Oil Co, ORGANIZATION, 8>
<Louvre, ORGANIZATION, 12>
<Commerzbank AG, ORGANIZATION, 9>
<Federal Communications Commission, ORGANIZATION, 8>
<SEC, ORGANIZATION, 32>
<Michel Camdessus, PERSON, 6>
<GM, ORGANIZATION, 8>
<Kiichi Miyazawa, PERSON, 24>
<Parliament, ORGANIZATION, 10>
<International Coffee Organization, ORGANIZATION, 20>
<U.S. Securities and Exchange Commission, ORGANIZATION, 6>
<Shell Oil Co, ORGANIZATION, 7>
<Philippines, ORGANIZATION, 6>
<Conservative Party, ORGANIZATION, 8>
<Robert Dole, PERSON, 6>
<Exxon Corp, ORGANIZATION, 15>
<James Baker, PERSON, 77>
<IBM, ORGANIZATION, 8>
<Federal Reserve, ORGANIZATION, 45>
<FOMC, ORGANIZATION, 7>
<U.S. Administration, ORGANIZATION, 7>
<David Mulford, PERSON, 7>
<ICO, ORGANIZATION, 15>
<Hughes, PERSON, 6>
<L.F. Rothschild, ORGANIZATION, 7>
<U.S. Economy, ORGANIZATION, 7>
<World Bank, ORGANIZATION, 49>
<Phillips, PERSON, 10>
<CBT, ORGANIZATION, 8>
<Conoco Inc, ORGANIZATION, 6>
<Clayton Yeutter, PERSON, 24>
<Satoshi Sumita, PERSON, 6>
<Marlin Fitzwater, PERSON, 10>
<Jacques Chirac, PERSON, 7>
<Congressional, ORGANIZATION, 19>
<Ministry of International Trade and Industry, ORGANIZATION, 14>
<Sandra Kaul, PERSON, 6>
<U.S. Supreme Court, ORGANIZATION, 7>
<International Cocoa Organization, ORGANIZATION, 7>
<Entre Rios, PERSON, 6>
<Corazon Aquino, PERSON, 10>
<Ferdinand Marcos, PERSON, 8>
<Communist Party, ORGANIZATION, 10>
